"","unlist.questions."
"2145","영어성적이 좋은데 어학활동은 어떻게 했는가?"
"2146","다른 직무을 맡아도 괜찮은가?"
"2147","직무를 잘 할수 있는 이유는?"
"2148","스타트업에서 무슨 일을 했나요?"
"2149","해외생활 경험은?"
"2150","미중무역전쟁으로 엘지화학이 어떤 영향을 받을까요?"
"2151","자기소개를 해보세요."
"2152","학점이 낮은 이유는?"
"2153","자신의 전공이 이 부서에 정확히 어떠한 도움이 될것 같은지 말해보네숑."
"2154","면접관에게 할 질문이 있나요?"
"2155","성격이 외향적입니까 내향적입니까?"
"2156","가장 인상에 남는 수업과 그 이유는?"
"2157","학업말고도 동아리같은거 한적 있나요?"
"2158","영어수업을 많이 듣는데 영어를 잘하나?"
"2159","한문장으로 자기소개를 해보시고 본인의 옷차림에 대해 설명해보세요"
"2160","해당 사업부에 대해 아는대로 말해보세요."
"2161","회사에서 소통은 어떻게 할 건지 말해보세요."
"2162","영어면접) 지금 당장 떠난다면 어딜 가고 싶은지?"
"2163","영어면접) 너의 취미는 무엇인지?"
"2164","직무면접) 본인이 현장을 잘 모를때 그것을 극복하기 위해 무엇을 할 것인지?"
"2165","15년~20년 후 엔지니어로 근무하고 있는데, 회사에서 본인의 커리어로 임원자리와 현장에 남는 선택의 기회를 주었을 때 어떻게 할지?"
"2166","(영어) 좋아하는 유명인사가 누구니? 나는 모르겠는데, 설명해줄 수 있니?"
"2167","우리 사업본부가 하고 있는 사업분야에 대해 아는가?"
"2168","아르바이트는 왜 했는지? 하면서 시간관리는 어떻게 했는지?"
"2169","품질 직무를 수행할 때 사용하는 툴이 무엇이 있는지?"
"2170","아주 작은 하자가 있는 제품이 있는데, 출하를 하지 않는다면 회사에 손실이 크다. 출하를 할 것인지?"
"2171","운동을 좋아하는지"
"2172","근무지 상관 없는가?"
"2173","스트레스를 어떻게 푸는지?"
"2174","지원한 이유?"
"2175","지원자가 전공하신 과가 어떻게 기여할 수 있겠는가?"
"2176","자신의 장단점은?"
"2177","팀 내 한 명이 게으름뱅이이다. 팀장님이 있을 때에는 열심히 하지만 없으면 안해서 타 팀원들에게 해를 끼친다. 당신이라면 팀장님에게 이를 말하겠는가?"
"2178","김영란법에 대해 어떻게 생각하는가?"
"2179","제약영업을 지원한 이유는?"
"2180","팀 내 한 명이 게으름뱅이이다. 팀장님이 있을 때에는 열심히 하지만 없으면 안해서 타 팀원들에게 해를 끼친다. 당신이라면 팀장님에게 이를 말하겠는가?"
"2181","김영란법에 대해 어떻게 생각하는가?"
"2182","제약영업을 지원한 이유는?"
"2183","생산기술 직무가 무엇을 하는지 알고있나?"
"2184","자신 성격의 단점이 무엇인가?"
"2185","꾸준히 무언가를 해서 성과를 낸 경험이 있는가?"
"2186","LCD와 OLED의 차이에 대해 설명해봐라."
"2187","형광과 인광의 차이에 대해 설명해봐라."
"2188","열역학 0법칙은 무엇인가?"
"2189","(영어면접) 자기소개를 해달라"
"2190","제약산업에 대해서 어떻게 생각하는가"
"2191","공헌이익과 한계이익의 차이"
"2192","왜 lg화학인가?"
"2193","지방 근무는 괜찮은가?"
"2194","다른 직무를 가라고 한다면 어떻게 할 것인가?"
"2195","1. 학교를 남들보다 오래 다닌거같은데 그 이유가 무엇인가?"
"2196","2. 청주 사업장인데, 지방 근무가능한가?"
"2197","3. risk와 hazard 차이점을 알고 있는가? (직무)"
"2198","자동차배터리와 ESS배터리의 차이점이 무엇이라 생각하나요?"
"2199","전공부분에서 노력한 점이 있나요?"
"2200","최근 LG화학에서 스택앤폴딩 이외에 새로운 방식을 개발하고 있는데 무엇인지 알고 있나요?"
"2201","LG화학의 블로그를 알고있나요?"
"2202","비빔밥은 어떻게 만드는지 설명해보세요."
"2203","어떤 음식을 가장 좋아하나요?"
"2204","OLED 디스플레이의 기본 구조는 어떻게 되나요?"
"2205","미국 금리가 우리나라 금리에 미치는 영향에 대해 설명해보세요."
"2206","제조 기업에서 파생 상품을 다루는 사람이 갖춰야 할 가장 중요한 점은 무엇인가요?"
"2207","왜 국토대장정을 사람들이 하는가?"
"2208","한 달 뒤 유가가 어떻게 바뀌겠는가?"
"2209","6시그마 절차란 무엇인가?"
"2210","z통계량과 t통계량의 차이는 무엇인가?"
"2211","왜 대학원을 진학했는가?"
"2212","혼자 업무를 진행하는 것과 협업 중 어떤 것을 좋아하는가?"
"2213","힘들었던 경험에 대해 말해보시오."
"2214","기대이론에 대해 알고 있나요?"
"2215","왜 본인을 뽑아야 하는지 말해보세요"
"2216","인사직무에 지원한 이유가 있나요?"
"2217","전공에서 기억에 남는 이론에 대해 설명해 보세요"
"2218","직무기술서와 직무명세서에 대해 설명해보세요"
"2219","결과와 과정 중에 무엇이 더 중요한가요?"
"2220","다른 지원자들과 비교해서 본인의 강점을 말해보세요"
"2221","첫 월급을 받게 되시면 어떻게 하실 생각이십니까?"
"2222","회사에 기숙사 빈 방이 없는데, 어떻게 근무하실 생각이십니까?"
"2223","꿈이 무엇인가요?"
"2224","마지막으로 하고 싶은 말이 있습니까?"
"2225","박사를 안하고 석사만 하는 이유가 무엇인가요?"
"2226","본인 자랑 한번 해보세요"
"2227","본인의 연구에서 가장 창의적인 점은 무엇입니까?"
"2228","석사를 한 이유가 있습니까?"
"2229","고분자 학과인데, 기본 고무 5개는 무엇입니까?"
"2230","군 생활은 어땠습니까?"
"2231","나주 사업장에 지원한 이유가 있습니까?"
"2232","넥타이는 어떻게 고른 것인가요?"
"2233","대학 생활에서 가장 힘들었던 경험은 무엇이었습니까?"
"2234","본인 성격의 장단점에 대해 설명해보시오."
"2235","삼성SDI가 OOO씨와 같은 훌륭한 인재를 왜 떨어뜨렸는지, 그 이유에 대해 압니까?"
"2236","엔지니어의 제 1덕목에 대해 아나요?"
"2237","엔트로피와 엔탈피를 비교해 보시오."
"2238","여수 사업장을 선택한 이유는 무엇입니까?"
"2239","열역학 2법칙을 쉬운 예로 설명해보세요 ."
"2240","우리 회사 외에 지원한 곳이 있습니까?"
"2241","지방 근무에 관해 여자친구와 상의해 보았나요?"
"2242","학점이 많이 낮은 이유가 무엇입니까?"
"2243","해당 공장을 견학 또는 방문해본 적이 있습니까?"
"2244","LG화학의 이미지에 대해 떠오르는 단어가 있습니까?"
"2245","PID 시스템은 무엇입니까?"
"2246","본인은 가정에서 어떤 딸인가요?"
"2247","군 생활은 어땠나요?"
"2248","두 가지 목표 중에서 선택과 집중을 해야 할 때 어떻게 하는 편인가요?"
"2249","두 가지 목표인 선택과 집중 중 하나를 택한다면 무엇을 선택할 것인가요?"
"2250","본인 성격의 장단점에 대해 설명해보세요."
"2251","부모님께 자주 듣는 잔소리가 무엇인가요?"
"2252","삼성SDI에서 OOO씨와 같은 훌륭한 인재를 왜 떨어뜨렸는지, 그 이유에 대해 압니까?"
"2253","우리 회사 외에 지원한 곳이 있나요?"
"2254","인생의 터닝포인트를 말해보세요."
"2255","좋은 배터리란 무엇입니까?"
"2256","학점이 많이 낮은 이유가 무엇입니까?"
"2257","다른 곳에 배치되어도 상관없습니까?"
"2258","왜 본인이 품질 직무에 적합하다고 생각합니까?"
"2259","전공 관련 이론에 대해 하나만 말해보십시오."
"2260","주재원을 하고 싶은 이유가 있습니까?"
"2261","지방 근무가 가능한 이유가 무엇입니까?"
"2262","현재 많은 대기업들이 해외로 공장을 이전하고 있는데, 그것에 대해 찬성과 반대 의견 중 어느 쪽인가요?"
"2263","대학재학 중 가장 좋아했던 과목은 무엇입니까?"
"2264","무인도에 가야 한다면 무엇을 가져가고 싶나요?(영어)"
"2265","본인의 전공 중에서 가장 기억나는 과목은 무엇이며 설명해 보세요."
"2266","여가 시간에 주로 뭘하나요?"
"2267","여자인데 남자들이 대부분인 현장에서 적응할 수 있다고 생각합니까?"
"2268","집에 TV가 어느 회사 제품입니까? 만약 LG라면 왜 LG 제품을 구입한 이유가 있습니까?"
"2269","친구가 비싼 선물을 사달라고 하면 사주겠습니까?(영어)"
"2270","빛의 3원소와 색의 3원소가 어떻게 다른지 설명해보시오."
"2271","팀워크를 위해 노력하고 성공한 경험이 있습니까?"
"2272","본인의 위치보다 어려운 목표를 달성한 경험을 말해보시오."
"2273","본인의 전공 중에서 가장 기억나는 과목은 무엇이며, 그 과목에 대해 설명해 보시오."
"2274","본인의 취미는 무엇입니까?"
"2275","석유화학업계에 LG화학, 한화케미칼 등 우리 회사보다 큰 회사도 있는데, 우리 회사를 택한 이유가 따로 있습니까?"
"2276","여가 시간에 주로 무엇을 하나요?"
"2277","여자인데, 남자들이 대부분인 현장에서 적응할 수 있다고 생각하나요?"
"2278","여자인데, 생산관리직을 잘 할 수 있나요?"
"2279","지원하는 분야와 다르게 배치될 수 있는데, 괜찮습니까?"
"2280","LG화학의 주력 상품에 대해 아는 것을 말해보시오"
"2281","지방 근무도 가능한가요?"
"2282","입사를 위해 노력한 것을 말해보세요."
"2283","입사하기 위해 무엇을 했습니까?"
"2284","자기소개를 해보세요."
"2285","전공과 영업/마케팅은 다른 분야인데, 지원한 이유에 대해 말해보세요."
"2286","1분 자기소개를 해보세요."
"2287","지원한 직무가 아닌 다른 일을 하게 된다면, 어떻게 할 건가요?"
"2288","서울 근무를 지원했는데, 지방 근무를 할 수 있나요?"
"2289","B2B와 B2C의 차이점은 무엇입니까?"
"2290","sap이 무엇으로 만드는지 아십니까?"
"2291","지원동기가 무엇입니까?"
"2292","sap가 우리 회사의 주 제품이 될 것이라고 생각하는 이유가 무엇입니까?"
"2293","공백기간이 있는데 그 동안 무엇을 했나?"
"2294","공백기간이 있는데 그 동안 무엇을 했나?"
"2295","본인의 단점이 뭐라고 생각하는가"
"2296","자신의 단점은?"
"2297","공익을 간이유가 있습니까?"
"2298","상사가 개인적인 일을 시켰을 때 어떻게 행동을 취할 것입니까?"
"2299","왜 sap가 우리 회사의 주 제품이 될 것이라고 생각하는 이유가 무엇입니까?"
"2300","공익을 간 이유가 있습니까?"
"2301","상사가 개인적인 일을 시켰을 때 어떻게 행동을 취할 것입니까?"
"2302","립싱크 금지법 발의에 대해 토론해보라"
"2303","최근 40년간 발명된 것 중에 자신이 생각했을 때 사람들의 삶을 바꾼 것이 무엇이라고 생각하는지 영어로 말해보라"
"2304","최근 40년간 발명된 것 중에서 자신이 생각했을 때 사람들의 삶을 바꾼 것은 무엇이라고 생각하는가? 를 영어로 말해보라"
"2305","10년 후 목표가 무엇인가요?"
"2306","본인 취미에 대해 자세히 말해보세요"
"2307","본인의 장단점은 무엇인가?"
"2308","살면서 가장 높게 잡은 목표가 무엇이었나?"
"2309","여가생활에는 무엇을 하나?"
"2310","자기소개를 해보세요"
"2311","토익점수가 왜 이렇게 낮은가?"
"2312","학생회장 하면서 가장 힘들었던 게 무엇인가?"
"2313","학점이 왜 이렇게 낮은가?"
"2314","학창시절에 가장 크게 느꼈던 갈등이 무엇인가? 어떻게 갈등을 풀었나?"
"2315","1년 후 만약 죽게 된다면 그동안 무슨 일을 해보고 싶은지 영어로 표현해보세요"
"2316","다른 곳에서도 근무할 수 있는가?"
"2317","롤모델이나 존경하는 사람은 누구인가?"
"2318","생산관리가 무엇인지 말해보세요"
"2319","생산관리를 지원한 이유는 무엇인가?"
"2320","생산관리에서 무슨 일을 하는지 아는가?"
"2321","실제로 어떤 제품을 생산하는지 아는가?"
"2322","아르바이트나 인턴 경험에서 느낀 점을 말해보세요"
"2323","우리 회사에 지원한 이유는 무엇인가?"
"2324","내 생애 가장 열정적 순간은?"
"2325","자기소개를 해보세요"
"2326","주변에서 본인을 어떻게 평가하는가?"
"2327","LG제품을 사용해 본적이 있는가?"
"2328","LG제품의 문제점은 무엇인가? 그 이유는 무엇인가?"
"2329","30초 자기소개해보세요"
"2330","담배소비를 줄이기 위한 담배가격 인상정책에 대해 영어로 토론해보세요"
"2331","배낭여행에서 가장 기억에 남는 것은 무엇인가?"
"2332","삼성과 LG의 3D TV 논란에 대해 어떻게 생각하는가?"
"2333","옵티머스가 어떻게 하면 갤럭시S를 이길수 있는가?"
"2334","중국에서 가장 존경하는 인물은?"
"2335","지원동기는?"
"2336","최근 LG화학이 중국에 많이 진출했는데 중국 시장 활로를 넓히기 위해 어떠한 전략이 필요한가?"
"2337","상사가 불합리하다고 생각되는 일을 시킬 때 어떻게 할건가요?"
"2338","출산율에 대해 어떻게 생각하나요?"
"2339","마지막 하고싶은 말을 해보세요."
"2340","우리 회사의 핵심 가치 중 가장 중요한 가치는 무엇이라고 생각하나요?"
"2341","(원하는 직무와 부서를 물어본 후 들어온 꼬리 질문) 원하지 않는 직무는 무엇인가요?"
"2342","오늘 면접을 마무리하며 본인이 본인에 대해 몇 점의 점수를 주고 싶나요?"
"2343","책임이란 무엇인가요??"
"2344","혁신이란 무엇인가요??"
"2345","본인은 소통형 인간인가요??"
"2346","공고문에 있는 인턴업무는 무엇인지 아는가?"
"2347","(꼬리질문) 그럼 그 사업의 대상, 지원내용 등을 아는대로 구체적인 내용을 말해보세요,"
"2348","자신이 나서서 문제를 해결한 경험에 대해 말해보세요."
"2349","국민연금 제도가 무엇이라고 생각하는가와 자기소개를 함께 1분 진행해주세요"
"2350","창의적인 인물이 누구라고 생각하십니까"
"2351","마치고 무엇을 할 것인지"
"2352","마지막으로 할 말이 있는가?"
"2353","민원인을 대할 때 가장 필요한 역량은 무엇인가?"
"2354","상사가 자꾸 나에게 업무를 미뤄 내 업무가 진행이 되지 않을 때 어떻게 할 것인가?"
"2355","자신은 배치된 지 얼마 되지 않아 업무 숙지가 미흡한 신입사원인데, 어떠한 제도에 대해 민원 전화가 걸려올 때 어떻게 대처할 것인가?"
"2356","자기소개와 지원동기를 말해보시오."
"2357","실업크레딧에 대해 말해보시오."
"2358","혁신적인 방법이 있는데, 나만 그것을 주장한다. 다른 팀원들은 내키지 않아 하는데, 어떻게 설득할 것인가?"
"2359","국민연금의 종류를 말해보세요."
"2360","국민연금은 어떻게 보면 독점기업인데 고객을 만족시켜야 하는 이유는 무엇인가요?"
"2361","국민연금의 기금이 고갈되는 원인과 해결책을 말해보세요"
"2362","님비현상이란 무엇인가요?"
"2363","무언가를 성취한 경험과 그것을 통해 배운점을 말해보세요"
"2364","본인 PR을 해보세요"
"2365","살면서 가장 행복했던 경험은 무엇인가요?"
"2366","스트레스는 어떻게 해소하나요?"
"2367","악성민원이 생기면 어떻게 대처할 건가요?"
"2368","역사적 인물 중 가장 존경할 만한 재상과 이유를 말해보세요"
"2369","국민연금의 문제점(재정고갈 등)과 해결방안은?"
"2370","청년들이 공무원/공공기업으로 몰리는 이유는?"
"2371","기초연금과 노령연금의 차이에 대해 말해보아라."
"2372","나눠준 기사를 요약한 후 자신의 의견을 말해보아라."
"2373","본인의 장단점을 말해보아라."
"2374","인턴을 한다면 퇴근 후 여가시간에 무엇을 할 것인가?"
"2375","하고 싶은 일 또는 직업에 있어서 돈을 중심으로 택하겠는가, 일을 중심으로 택하겠는가?"
"2376","하고 싶은 일을 하고 풍족하지 못하게 사는 것, 풍족하지만 하고 싶은 일을 못하는 것 둘 중 어느 삶을 택하겠는가?"
"2377","국민연금과 금융권에서 실시하는 연금의 차이에 대해 말해보아라."
"2378","조용한 분위기, 시끄러운 분위기 둘 중 어느 분위기를 더 선호하는가?"
"2379","공감이란 무엇이라고 생각하는가?"
"2380","국민연금이 왜 필요하다고 생각하는가?"
"2381","본인이 국민연금 인턴으로 꼭 뽑혀야 하는 이유에 대해 어필해보아라."
"2382","정의란 무엇이라고 생각하는가?"
"2383","지원동기는 무엇인가?"
"2384","국민연금이 개선해야 하는 것은 무엇이라고 생각하나요?"
"2385","국민연금공단이 국민들에게 긍정적인 인식으로 자리 잡으려면 어떻게 해야 하는가?"
"2386","돈 많이 벌지만 하기 싫은 직업과 하고 싶지만 돈이 적은 직업 중 무엇을 선택할 것인가?"
"2387","가입자 종류 중 임의가입자에 해당하는 사람은 누구인가?"
"2388","본인이 원하는 리더 유형은 무엇이며, 본인은 어떤 리더 유형에 속한다고 생각하는가? 대답은 간단히 해달라."
"2389","본인이 팀을 이끌고 히말라야 등반을 하는 도중에 급히 대피를 해야하는 비상 상황이 발생했다. 그런데 팀원 중 한 명이 부상을 당했다면 어떻게 할 것인가?"
"2390","불합리하거나 비효율적인 상황을 해결한 경험이 있다면 말해보아라."
"2391","공공기관 이전시 원래있던 상권에 손실이 있을수 있다. 이러한 상권 손실을 예방하기위한 대책은?"
"2392","국민연금공단의 장점과 단점에 대해 말하시오"
"2393","봉사활동 기억에 남는게 있는지"
"2394","많은 활동을 하셨는데, 그럴 수 있었던 이유가 뭔가요?"
"2395","본인이 효자라고 생각하시나요?"
"2396","4대 보험의 종류는?"
"2397","개인연금과 국민연금 중 선택을 한다면 어떤 것을 선택하겠는가?"
"2398","국민연금의 종류는?"
"2399","노후준비는 하고 있는지?"
"2400","전화 상담 중 상대방이 말을 엄하게 하고 의견충돌이 났을 경우 어떻게 대처할 것인지?"
"2401","블록체인의 약점과 우리은행에서 이것을 어떻게 보완할 수 있나요?"
"2402","왜 박사 진학을 안하고 우리은행에 지원했나요?"
"2403","우리은행에서 좋은 IT 인재들을 등용하려면 어떻게 해야 할까요?"
"2404","본인의 강점은 뭔가요?"
"2405","최근 읽은 금융 기사 있나요?"
"2406","아르바이트를 하면서 세일즈 역량을 발휘했던 경험은?"
"2407","본인의 장단점은 무엇인가요?"
"2408","봉사활동 경험이 있나요? 느낀점은?"
"2409","본인의 가치관에 대해 말해보세요."
"2410","본인이 보유한 역량을 말해보세요."
"2411","본인이 했던 도전은 무엇인가요?"
"2412","언제부터 은행원이 되고 싶었나요?"
"2413","은행원이 되기위해 어떤 노력을 했나요?"
"2414","마지막으로 하고싶은말이 있나요?"
"2415","한정된 자원으로 무언가를 성취해 본 경험이 있나요?"
"2416","영업이나 세일즈 경험이 있나요?"
"2417","은행 입행을 위해 준비한것은 무엇인가요?"
"2418","긍정적인 편인 것 같다, 그렇다면 본인의 단점이 뭐라고 생각하나?"
"2419","단점이라고 생각하게 된 경험이 있나?"
"2420","조직에 있어서 리더의 역할을 맡는 편인가?"
"2421","본인을 소개해보세요."
"2422","이직이유는?"
"2423","당신은 팔로워인지 리더인지 말해보세요."
"2424","우리은행의 지원한 동기를 말해보세요."
"2425","우리은행만을 위해 준비한 것이 있다면?"
"2426","상품에 대한 우려사항에 대해 말해보세요."
"2427","파생상품을 대출을 받아 투자하려고 고객이 찾아온다면?"
"2428","왜 우리은행에 지원하였나요?"
"2429","지점영업에 대한 명과 암을 알고 있다고 했는데 무엇인가요?"
"2430","우산을 팔아보시오."
"2431","우리은행의 장점은 무엇이라고 생각합니까?"
"2432","4차산업에 있어 본인이 얼마나 준비되었다고 생각합니까?"
"2433","관광운항과에서 무엇을 배웠는가?"
"2434","전교 240등에서 1등을 했는데, 이렇게 열심히 공부하게 된 이유는 무엇인가? (자기소개서 질문)"
"2435","은행원이 왜 되고 싶은가?"
"2436","3분간 자기 PR을 해보세요"
"2437","3분 자기소개를 해보시오."
"2438","스마트금융에 지원하셨는데, 관련된 과는 아닌 것 같습니다. 따로 공부를 했거나 관련 프로젝트 등의 경험이 있나요?"
"2439","앱 설계를 해봤다고 했는데, 어플리케이션은 무료였습니까? 유료였습니까? 그리고 주 아이디어가 무엇이었나요?"
"2440","이전 인턴 생활에서 무엇을 배웠습니까?"
"2441","직군을 경영지원이나 스마트금융으로 다들 지원을 하셨는데, 인턴 기간 동안 지점에서 영업으로 일을 할 수 있습니다. 다들 할 수 있겠습니까?"
"2442","핀테크 지원하셨는데 위비뱅크 해보신 적 있나요?"
"2443","학생회장을 했다고 했는데, 학생회장을 하면서 어떤 일들을 맡아 했나요?"
"2444","IT 개발 업체와 은행 간 징검다리를 어떻게 놓을 것인가요?"
"2445","이 많은 사람들 중에서 당신을 뽑아야 하는 이유가 무엇인가요?"
"2446","1분 자기소개해보세요."
"2447","우리은행에 들어오기 위해서 어떠한 노력을 하였나요?"
"2448","2분 동안 자기소개를 해보세요."
"2449","3분 동안 젠트리피케이션에 대해 발표해보세요."
"2450","80대 노인에게 골프채를 팔아보세요."
"2451","개인금융서비스직에 대해 설명해보세요."
"2452","다른 은행들도 많은데, 왜 우리은행에 지원하였나요?"
"2453","다른 지역 지점으로 발령나면 어떡할 것인가요?"
"2454","더 하고 싶은 말이 있나요?"
"2455","등산객에게 슬리퍼를 팔아보세요."
"2456","마지막으로 하고 싶은 말이 있나요?"
"2457","먼 지점에 발령난다면 어떻게 할 것인가요?"
"2458","본인은 여성에게 인기 많은가, 남성에게 인기가 많은가요?"
"2459","블랙컨슈머를 대응하는 방법은?"
"2460","신혼부부에게 중고 냉장고를 팔아보세요."
"2461","아르바이트 경험을 통해 느낀 점은 무엇이었나요?"
"2462","우리은행의 로고송과 CF를 만들어보세요."
"2463","은행원으로서 가장 필요한 역량이 뭐라고 생각하나요?"
"2464","은행의 역할이 무엇이라 생각하나요?"
"2465","이 물건을 면접관에게 팔아보세요."
"2466","지원한 동기가 무엇인가요?"
"2467","집에서 먼 지점으로 발령날 경우에는 어떻게 하겠습니까?"
"2468","타 은행에서 파트 타이머 경험을 하였는데, 힘들었던 점은 무엇이었나요?"
"2469","할머니에게 셀카봉을 팔아보세요."
"2470","3분 자기소개해보시오."
"2471","글로벌 사업부에서 일할 생각은 없는가?"
"2472","미디어, 홍보를 전공하면서 기업과 연계해서 일해봤을 텐데, 어떤 기업과 일해봤고 어떤 일을 했는가?"
"2473","본인의 열정과 역량에 대해 3분 PR 해보시오."
"2474","우리은행 주가가 얼마인지 아는가?"
"2475","유럽 시장에서 우리은행이 성공할 수 있는 전략에 대해 말해보시오."
"2476","주식 투자 경험이 있는데, 어떤 식으로 투자를 했는가?"
"2477","해당 직무에서 하고 싶은 일이 무엇인가?"
"2478","해당 직무에서 하는 일이 뭐라고 생각하나?"
"2479","3분간 자기 PR을 해보세요"
"2480","우리은행의 로고송과 CF를 만들어 보아라."
"2481","지역 근무에 대해서 어떻게 생각하나? 지역에 맞는 서비스를 하려면 어떻게 해야 하는가?"
"2482","지원자의 별명은 무엇인가?"
"2483","우리은행이 앞으로 나아갈 방향에 대해 말해보시오."
"2484","마지막으로 하고 싶은 말은?"
"2485","본인이 만약 업무처리에 있어서 어려움에 봉착한다면 어떻게 처리하겠는가?"
"2486","우리은행 위비정기예금을 판매해보아라."
"2487","자전거 전용 도로의 찬반에 대해 논하라."
"2488","본인의 가치는?"
"2489","존경하는 금융인은?"
"2490","자신의 친구를 소개해보세요."
"2491","금융 관련 지식이 부족할 것 같은데, 어떻게 생각하나?"
"2492","어버이날 부모님께 무엇을 해 드렸는가?"
"2493","자기소개 하시오."
"2494","최근 금융이슈에 대해 알고 있는가?"
"2495","출구전략에 대해 설명하시오."
"2496","환율에 대해 설명하시오."
"2497","경제 신문을 읽는가요? 읽는다면 어떻게 읽나요? 읽은 내용중 기억에 남는 내용은 무엇인가요?"
"2498","세일즈 면접 - 우리은행 상품 팔기"
"2499","가장 기억에 남는 봉사활동은?"
"2500","고객이 99만원을 주고 100만원이라 우긴다면?"
"2501","대체휴일제 도입에 대한 본인의 의견?"
"2502","문이과 통합에 대한 본인의 의견?"
"2503","세일즈 - 파, 배추, 참외, 다리미, 숟가락"
"2504","은퇴설계분야를 위해 준비해 온 것은?"
"2505","층간소음으로 인한 문제 해결방안?"
"2506","삼성의 흡연자 인사고과 불이익에 대해 찬반토론을 해보시오."
"2507","지원자의 어릴 적 꿈은 무엇이며, 그 꿈을 꾸게 된 이유는 무엇인가?"
"2508","사회생활힘든데 군대에 계속있지 왜 전역했어요??"
"2509","원하는 배우자상에 대해서 말해보시오"
"2510","가족소개를 해보시오"
"2511","빼빼로데이마케팅 , 학교체벌에 대해 찬성반대"
"2512","세일즈 면접 (킹침대,레스토랑음식,사과한박스,초콜릿,만연필)"
"2513","자신의 학과가 무엇이나?"
"2514","스트레스를 푸는 자신만의 방법이 있나요?"
"2515","다른 은행원에 비해 더 잘할 수 있는 것은 무엇인가요?"
"2516","자신의 장.단점을 말해보세요."
"2517","SSM에 대해 토론하라"
"2518","우리 회사에 지원하게된 동기는 무엇입니까. 전 직장에서 경력이 꽤 있는데 이곳에서 일할수있습니까."
"2519","은행원으로서 갖춰야할 점이 뭐라고 생각하세요?"
"2520","3분동안 자기소개를 해봐라."
"2521","활동이 많은데, 입행 후 업무 때문에 다른 활동을 할 수 없음면 어떡할 건가?"
"2522","금융관련해서 준비한 것이 없는데 IT쪽 다른 곳은 지원 안했는가?"
"2523","간단한 자기소개 해보세요"
"2524","교사 자격증을 소지하고 있는데 우리은행에 지원한 이유는?"
"2525","다른 회사 인턴경험이 있는데 우리은행에 지원한 이유는?"
"2526","본인이 살면서 가장 난처 했던 적이 있는가?"
"2527","외국에서 지낸 경험이 있는데 우리은행에 지원한 이유는?"
"2528","은행원이 갖춰야 할 덕목은 무엇인가?"
"2529","단지설계가 무엇이고, 하는 일은 어떤 건가요?"
"2530","대리, 과장, 부장님이 각각 다른 업무 지시를 했을 때, 어떤 일부터 처리하겠는가?"
"2531","부당한 대우를 받았던 경험이 있나요?"
"2532","본인은 리더에 가까운가요, 팔로워에 가까운가요?"
"2533","한국토지주택공사가 리츠에서 어떤 역할을 하나요?"
"2534","본인이 하기 싫은 업무를 맡게 되면 어떻게 할 것인가?"
"2535","1분 자기소개를 해보세요."
"2536","평소에 주변 사람들로부터 어떤 성격이라고 자주 듣습니까?"
"2537","LH인턴을 통해 '단순히 현장 경험을 쌓고 싶다' 이렇게 아니라 어떤 목표를 가지고 있으며 어떻게 배워 나갈 것인가?"
"2538","만약 당신이 CEO 라면, 일은 못하지만 업무의 매뉴얼을 지키는 직원 VS 일은 잘하지만 인성이 좋지 않은 직원 중, 어떤 직원을 채용하겠는가?"
"2539","법학을 전공했다고 하는데, 혹시 현재 LH에 어떤 법이 주로 사용되는지 아는가?"
"2540","마지막으로 할말이 있는지?"
"2541","(타인원) 스펙이 완벽한데, 10월에 있을 공채에도 지원할 것인가요?"
"2542","지원동기는 무엇입니까?"
"2543","(타인원) 전공과 lh공사의 일이 전혀 상반되는데, 잘 할 수 있겠나?"
"2544","집이 창원이 아닌데 어떻게 출근할 것인가?"
"2545","왜 우리 LH에 지원을 하게 되었는가?"
"2546","중학교 때 성적이 좋지 않다가 고등학교가서 성적이 좋아졌다고 적혀져있는데, 중학교 때 그럼 많이 노셨나봐요?"
"2547","고객 응대를 해 본 경험이 있는가?"
"2548","조직에 잘 스며들 수 있는 성격인가?"
"2549","최근 본사가 진주로 내려갔습니다. 가실 수 있습니까?"
"2550","마지막으로 하고 싶은 말 한마디 해보세요."
"2551","성격의 장단점에 대해서 말해보세요."
"2552","원하는 직무 외에 다른 직무에 배치되면 어떻게 할 것입니까?"
"2553","자기소개를 간단하게 15초 정도 해보세요."
"2554","지원자의 전공에 대해서 자신있는 것 아무거나 말해보세요."
"2555","최근에 가장 기뻤던 일은 무엇입니까?"
"2556","운전할 수 있습니까?"
"2557","지원동기는 무엇입니까?"
"2558","동아리 활동 해보았습니까?"
"2559","문서작성 프로그램, 캐드, 피피티 사용 가능합니까?"
"2560","자기소개 해보세요."
"2561","지원동기는 무엇입니까?"
"2562","남들과 차별화되는 본인만의 공부 방법이 있다면 말해보세요."
"2563","본인은 조직에 있을 때 리더, 서포터 중 어느 역할을 선호하나요?"
"2564","상사가 부당한 업무를 지시한디면 어떻게 행동하겠습니까?"
"2565","지원자의 경력에 대해 말해보세요."
"2566","운전면허가 있나요?"
"2567","입사한다면 어떤 마음으로 일할 것인가요?"
"2568","자기소개를 해보세요."
"2569","집에서 출퇴근하는 것이 어떤지 말해보세요."
"2570","한국토지주택공사 미션은 무엇인가요?"
"2571","노후 건물의 활용방안은?"
"2572","팀 내의 갈등이 생길 시 어떻게 해결하는가"
